"","subjID","kPre","betaPre","kPost","betaPost"
"1",102,0.100640023745251,0.396057443912638,0.0762375276022712,0.253850413562257
"2",103,0.0221627613105559,0.202375832612995,0.0433327359471122,0.29878169620875
"3",104,0.00678279662085696,0.120270141125016,0.0386485333153762,0.231555397043071
"4",105,0.0101293908961419,0.804618239990312,0.0378925430525055,0.471715526021774
"5",106,0.0198817010670544,0.817071398187991,0.0203384627952331,0.544027266506916
"6",107,0.0033007370539664,0.848772330148135,0.00702596830885236,0.282801760025717
"7",108,0.0307435668553312,0.828911729264686,0.0236843472751037,0.459342424189891
"8",109,0.273304686011159,0.66964337549769,0.284568905682031,0.482888346082561
"9",111,0.0128305957233655,0.58429540450007,0.022037640931759,0.384115549994565
"10",112,0.046900268242538,0.330768556392061,0.0327431774139862,0.405941019285902
"11",115,0.11306691843347,0.145697074386341,0.284151813781626,0.483064258118104
"12",116,0.0235979725079632,0.553400440226221,0.0370700119396295,0.395381855729013
"13",117,0.0370555795327598,0.418306425875807,0.0306943214635967,0.442190918289131
"14",118,0.124512942790248,0.774253843410911,0.131458007745088,0.518636418259414
"15",119,0.070714925954353,0.663833064663824,0.0725724353390886,0.481971596617217
"16",120,0.00572267393260316,0.840802944745192,0.00229321438121871,0.475715153053818
"17",121,0.019985187662598,0.817968593342791,0.0305918045696345,0.53842862073988
"18",122,0.00618380851665844,0.645688416018761,0.00817182933597379,0.538296628521594
"19",123,0.097516269379684,0.379451133654493,0.284435996774676,0.481599789046426
"20",124,0.00189992607621792,0.792080688521881,0.000845600945151542,0.379530223151082
"21",125,0.000519146075190866,0.809825754794149,0.00050218787468197,0.536354385269351
"22",126,0.273849006731954,0.671113888591571,0.180552062005936,0.333153436478215
"23",127,0.0173540091724333,0.386263112624826,0.0171323677976979,0.381660214631366
"24",128,0.0147383069499734,0.824903842295206,0.0251743318957322,0.351026246342271
"25",129,0.0327138700697531,0.435519586053544,0.0351587168307632,0.34821814139846
"26",130,0.00289194475986211,0.299988833788036,0.00114199718329916,0.408890562205191
"27",131,0.00252771758136066,0.60140011008012,0.00243323193190605,0.474374797204423
"28",132,0.0110340629761614,0.511124735247473,0.0076695240609351,0.485605869383855
"29",133,0.00052425214865131,0.816762044717445,0.000500083391297083,0.534132459029277
"30",134,0.015547413569074,0.204046829409961,0.00178589372932144,0.52749346810313
"31",135,0.0023925300867677,0.395492521728848,0.00177093365711432,0.408885484961553
"32",136,0.000521444209879598,0.81323800298814,0.000498340476312448,0.538611961105226
"33",137,0.042312472626111,0.787873024591278,0.0154303921723265,0.542727852307216
"34",138,0.0186848940561166,0.134963392529849,0.00513882063179575,0.312724078402053
"35",139,0.00191375109746878,0.803421493319853,0.00626907623406515,0.489559502123366
"36",140,0.00304642109757443,0.530675451994451,0.00580189910802164,0.539833179433445
"37",141,0.0421829288514613,0.789751435611488,0.0249330862085211,0.288876423082066
"38",142,0.0127425679320663,0.345034335038163,0.00817549595393346,0.540332560222727
"39",143,0.00573089107000422,0.839905557039742,0.00421847669862375,0.546714637406392
"40",144,0.0101549206236419,0.799815975178767,0.0236785953376467,0.457758306720352
"41",145,0.0236200466399294,0.553062658179015,0.0182614411698864,0.372544349710765
"42",146,0.0100727268554345,0.805560926898566,0.00818686564486916,0.539235163523463
"43",147,0.0401664511829384,0.378815503071963,0.012002407827165,0.345187155759675
"44",148,0.000521912572467516,0.811491834535218,0.00049938839463077,0.538211698360489
